#separator:tab
#html:false
#notetype:Basic
#deck:Mandarin Taiwan
#columns:Hanzi	Pinyin	Indonesian	English	Taiwan Note	Tags
有優惠嗎？	yǒu yōuhuì ma?	ada promo / diskon?	any discounts / deals?	Very common question — shops often have 買一送一 or app discounts	scenario::Makanan_&_Minuman register::casual taiwan
優惠	yōuhuì	promo / diskon / keuntungan	discount / special offer		scenario::Makanan_&_Minuman register::casual
買一送一	mǎi yī sòng yī	beli satu gratis satu	buy one get one free	Extremely common in Taiwan, especially at drink shops on certain days	scenario::Makanan_&_Minuman register::casual taiwan
集點	jí diǎn	kumpulkan poin / stamp	collect loyalty points	集點 cards at 7-11 and FamilyMart are a big deal in Taiwan culture	scenario::Makanan_&_Minuman register::casual taiwan
點數	diǎnshù	poin	points (loyalty)		scenario::Makanan_&_Minuman register::casual
會員優惠	huìyuán yōuhuì	diskon member	member discount		scenario::Makanan_&_Minuman register::casual
折扣	zhékòu	diskon	discount		scenario::Makanan_&_Minuman register::casual
打八折	dǎ bā zhé	diskon 20% (bayar 80%)	20% off (pay 80%)	Taiwan discounts work backwards — 八折 means pay 80%, not get 80% off	scenario::Makanan_&_Minuman register::casual taiwan
需要發票嗎？	xūyào fāpiào ma?	perlu faktur / struk pajak?	do you need an invoice?	Asked at every register — Taiwan uniform invoices double as lottery tickets	scenario::Makanan_&_Minuman register::casual taiwan
統一發票	tǒngyī fāpiào	struk pajak seragam Taiwan	Taiwan uniform invoice	Government-mandated receipt — has a lottery number printed on it, drawn every 2 months	scenario::Makanan_&_Minuman register::casual taiwan
電子發票	diànzǐ fāpiào	struk elektronik (e-invoice)	electronic invoice	Can be stored on EasyCard or phone instead of paper	scenario::Makanan_&_Minuman register::casual taiwan
載具	zàijù	dompet e-invoice (carrier)	invoice carrier (digital wallet)	載具 stores your e-invoices digitally — link with EasyCard or phone number	scenario::Makanan_&_Minuman register::casual taiwan
不用發票	bú yòng fāpiào	tidak perlu struk	no receipt needed		scenario::Makanan_&_Minuman register::casual
啦	la	(partikel penegas/santai)	(softening / friendly particle)	好吃啦 = so good! Very common in casual speech	scenario::Makanan_&_Minuman register::casual tag::Taiwan taiwan
喔	o	(partikel informasi baru)	(new info / mild surprise particle)		scenario::Makanan_&_Minuman register::casual tag::Taiwan
